Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
349,Martin Hongla,MF,cm Cameroon,24,1998,1.3,0,1,1,100.0,0.74,0.74,0.00,0.00,13.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,b85bf253
350,Jackson Porozo,DF,ec Ecuador,21,2000,1.1,0,1,0,0.0,0.94,0.00,0.00,,15.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,7d704e92
351,Akram Afif,FW,qa Qatar,25,1996,3.0,0,2,0,0.0,0.67,0.00,0.00,,29.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,fd53d9e7
352,Jordi Alba,DF,es Spain,33,1989,2.9,0,2,0,0.0,0.68,0.00,0.00,,26.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,4601e194
353,João Cancelo,DF,pt Portugal,28,1994,3.4,0,2,1,50.0,0.58,0.29,0.00,0.00,15.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,bd6351cd
354,Danilo,DF,br Brazil,30,1991,3.1,0,2,0,0.0,0.64,0.00,0.00,,27.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,94b2001f
355,Papu Gómez,MFFW,ar Argentina,34,1988,1.2,0,2,0,0.0,1.68,0.00,0.00,,26.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,6e4df551
356,Joakim Mæhle,DF,dk Denmark,25,1997,2.8,0,2,0,0.0,0.72,0.00,0.00,,28.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,c459a650
357,Youssouf Sabaly,DF,sn Senegal,29,1993,4.0,0,2,1,50.0,0.50,0.25,0.00,0.00,30.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,fbbb9269
358,Pierre Højbjerg,MF,dk Denmark,26,1995,3.0,0,2,1,50.0,0.67,0.33,0.00,0.00,30.7,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,8b04d6c1
359,Kieran Trippier,DF,eng England,31,1990,2.3,0,1,0,0.0,0.44,0.00,0.00,,27.2,1,0,0,0.0,0.0,0.05,0.0,0.0,Matches,21512407
360,Keanu Baccus,MF,au Australia,24,1998,1.3,0,1,0,0.0,0.79,0.00,0.00,,23.9,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,19df2bf7
361,Alejandro Balde,DF,es Spain,18,2003,1.4,0,1,0,0.0,0.71,0.00,0.00,,11.3,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,5ccc9672
362,Aaron Mooy,MF,au Australia,31,1990,4.0,0,1,0,0.0,0.25,0.00,0.00,,29.1,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,47b7e3af
363,Antoine Semenyo,FWMF,gh Ghana,22,2000,0.2,0,1,0,0.0,4.50,0.00,0.00,,13.5,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,efd2ec23
364,Dayot Upamecano,DF,fr France,23,1998,5.3,0,1,0,0.0,0.19,0.00,0.00,,9.7,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,d248cd8f
365,Denis Zakaria,MF,ch Switzerland,25,1996,0.7,0,1,0,0.0,1.53,0.00,0.00,,25.4,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,384d58d9
366,Nicolás De La Cruz,MF,uy Uruguay,25,1997,0.4,0,1,1,100.0,2.37,2.37,0.00,0.00,32.4,1,0,0,0.0,0.0,0.04,0.0,0.0,Matches,8fda5c72
367,Georges-Kévin N'Koudou,FWMF,cm Cameroon,27,1995,0.3,0,1,1,100.0,3.33,3.33,0.00,0.00,26.6,1,0,0,0.0,0.0,0.04,0.0,0.0,Matches,76c131da
368,Ethan Ampadu,MFDF,wls Wales,21,2000,2.8,0,1,0,0.0,0.35,0.00,0.00,,32.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,10b9fa99
369,Jewison Bennette,MF,cr Costa Rica,17,2004,1.1,0,1,0,0.0,0.87,0.00,0.00,,28.6,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,58f5704e
370,Matty Cash,DF,pl Poland,24,1997,4.0,0,1,0,0.0,0.25,0.00,0.00,,24.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,2389cdc2
371,Pathé Ciss,MF,sn Senegal,28,1994,1.6,0,1,0,0.0,0.62,0.00,0.00,,12.8,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,9a0408b6
372,Diogo Dalot,DF,pt Portugal,23,1999,2.9,0,1,1,100.0,0.35,0.35,0.00,0.00,29.8,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,d9565625
373,Marko Grujić,MF,rs Serbia,26,1996,0.1,0,1,1,100.0,6.92,6.92,0.00,0.00,29.6,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,8b8e759d
374,Mark-Anthony Kaye,MF,ca Canada,27,1994,0.7,0,1,0,0.0,1.53,0.00,0.00,,25.5,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,36a38acd
